Hobby,Personality,Stream,Career_Goal,Recommended_Courses,Nearby_Colleges,College_Websites,Course_Type,Average_Fees
coding,Analytical,Science,Software Engineer,Bachelor's in Software Engineer,NIT Trichy | IIT Bombay | IIT Delhi,https://www.nitt.edu | https://www.iitb.ac.in | https://home.iitd.ac.in,full-time,299353
coding,Analytical,Science,Software Engineer,Diploma in Software Engineer,IIT Bombay | NIT Trichy | VIT Vellore,https://www.iitb.ac.in | https://www.nitt.edu | https://vit.ac.in,part-time,19659
reading,Analytical,Science,Software Engineer,Bachelor's in Software Engineer,IIT Bombay | NIT Trichy | VIT Vellore,https://www.iitb.ac.in | https://www.nitt.edu | https://vit.ac.in,full-time,199045
reading,Analytical,Science,Software Engineer,Diploma in Software Engineer,VIT Vellore | IIT Bombay | NIT Trichy,https://vit.ac.in | https://www.iitb.ac.in | https://www.nitt.edu,part-time,55627
drawing,Analytical,Science,Software Engineer,Bachelor's in Software Engineer,IIT Delhi | IIT Bombay | SRM University,https://home.iitd.ac.in | https://www.iitb.ac.in | https://www.srmist.edu.in,full-time,141235
drawing,Analytical,Science,Software Engineer,Diploma in Software Engineer,NIT Trichy | IIT Bombay | VIT Vellore,https://www.nitt.edu | https://www.iitb.ac.in | https://vit.ac.in,part-time,54144
public speaking,Analytical,Science,Software Engineer,Bachelor's in Software Engineer,IIT Delhi | VIT Vellore | IIT Bombay,https://home.iitd.ac.in | https://vit.ac.in | https://www.iitb.ac.in,full-time,234165
public speaking,Analytical,Science,Software Engineer,Diploma in Software Engineer,NIT Trichy | IIT Bombay | IIT Delhi,https://www.nitt.edu | https://www.iitb.ac.in | https://home.iitd.ac.in,part-time,48519
research,Analytical,Science,Software Engineer,Bachelor's in Software Engineer,IIT Delhi | VIT Vellore | NIT Trichy,https://home.iitd.ac.in | https://vit.ac.in | https://www.nitt.edu,full-time,259002
research,Analytical,Science,Software Engineer,Diploma in Software Engineer,NIT Trichy | IIT Bombay | VIT Vellore,https://www.nitt.edu | https://www.iitb.ac.in | https://vit.ac.in,part-time,29704
social work,Analytical,Science,Software Engineer,Bachelor's in Software Engineer,SRM University | IIT Bombay | VIT Vellore,https://www.srmist.edu.in | https://www.iitb.ac.in | https://vit.ac.in,full-time,297197
