Hobby,Personality,Stream,Career_Goal,Recommended_Courses,Nearby_Colleges,College_Websites,Course_Type,Average_Fees
coding,Analytical,Science,Software Developer,B.Tech in Computer Science,IIT Bombay | IIIT Hyderabad | VIT Vellore,https://www.iitb.ac.in | https://www.iiit.ac.in | https://vit.ac.in,full-time,309996
coding,Analytical,Science,Software Developer,Diploma in Software Development,Government Polytechnic Mumbai | Chandigarh University | Lovely Professional University,https://gprajaram.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,53422
reading,Analytical,Science,Software Developer,B.Tech in Computer Science,IIT Bombay | IIIT Hyderabad | VIT Vellore,https://www.iitb.ac.in | https://www.iiit.ac.in | https://vit.ac.in,full-time,282233
reading,Analytical,Science,Software Developer,Diploma in Software Development,Government Polytechnic Mumbai | Chandigarh University | Lovely Professional University,https://gprajaram.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,38090
drawing,Analytical,Science,Software Developer,B.Tech in Computer Science,IIT Bombay | IIIT Hyderabad | VIT Vellore,https://www.iitb.ac.in | https://www.iiit.ac.in | https://vit.ac.in,full-time,263053
drawing,Analytical,Science,Software Developer,Diploma in Software Development,Government Polytechnic Mumbai | Chandigarh University | Lovely Professional University,https://gprajaram.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,67206
public speaking,Analytical,Science,Software Developer,B.Tech in Computer Science,IIT Bombay | IIIT Hyderabad | VIT Vellore,https://www.iitb.ac.in | https://www.iiit.ac.in | https://vit.ac.in,full-time,242665
public speaking,Analytical,Science,Software Developer,Diploma in Software Development,Government Polytechnic Mumbai | Chandigarh University | Lovely Professional University,https://gprajaram.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,70523
research,Analytical,Science,Software Developer,B.Tech in Computer Science,IIT Bombay | IIIT Hyderabad | VIT Vellore,https://www.iitb.ac.in | https://www.iiit.ac.in | https://vit.ac.in,full-time,165336
research,Analytical,Science,Software Developer,Diploma in Software Development,Government Polytechnic Mumbai | Chandigarh University | Lovely Professional University,https://gprajaram.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,21778
social work,Analytical,Science,Software Developer,B.Tech in Computer Science,IIT Bombay | IIIT Hyderabad | VIT Vellore,https://www.iitb.ac.in | https://www.iiit.ac.in | https://vit.ac.in,full-time,266557
social work,Analytical,Science,Software Developer,Diploma in Software Development,Government Polytechnic Mumbai | Chandigarh University | Lovely Professional University,https://gprajaram.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,78425
designing,Analytical,Science,Software Developer,B.Tech in Computer Science,IIT Bombay | IIIT Hyderabad | VIT Vellore,https://www.iitb.ac.in | https://www.iiit.ac.in | https://vit.ac.in,full-time,238604
designing,Analytical,Science,Software Developer,Diploma in Software Development,Government Polytechnic Mumbai | Chandigarh University | Lovely Professional University,https://gprajaram.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,38578
gaming,Analytical,Science,Software Developer,B.Tech in Computer Science,IIT Bombay | IIIT Hyderabad | VIT Vellore,https://www.iitb.ac.in | https://www.iiit.ac.in | https://vit.ac.in,full-time,233698
gaming,Analytical,Science,Software Developer,Diploma in Software Development,Government Polytechnic Mumbai | Chandigarh University | Lovely Professional University,https://gprajaram.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,43781
coding,Analytical,Science,Data Scientist,B.Sc in Data Science,IIT Madras | NMIMS Mumbai | Christ University,https://www.iitm.ac.in | https://nmims.edu | https://christuniversity.in,full-time,160515
coding,Analytical,Science,Data Scientist,Diploma in Data Analytics,Amity University | Jain University | Symbiosis Pune,https://www.amity.edu | https://www.jainuniversity.ac.in | https://www.siu.edu.in,part-time,54658
reading,Analytical,Science,Data Scientist,B.Sc in Data Science,IIT Madras | NMIMS Mumbai | Christ University,https://www.iitm.ac.in | https://nmims.edu | https://christuniversity.in,full-time,129910
reading,Analytical,Science,Data Scientist,Diploma in Data Analytics,Amity University | Jain University | Symbiosis Pune,https://www.amity.edu | https://www.jainuniversity.ac.in | https://www.siu.edu.in,part-time,69859
drawing,Analytical,Science,Data Scientist,B.Sc in Data Science,IIT Madras | NMIMS Mumbai | Christ University,https://www.iitm.ac.in | https://nmims.edu | https://christuniversity.in,full-time,161672
drawing,Analytical,Science,Data Scientist,Diploma in Data Analytics,Amity University | Jain University | Symbiosis Pune,https://www.amity.edu | https://www.jainuniversity.ac.in | https://www.siu.edu.in,part-time,20509
public speaking,Analytical,Science,Data Scientist,B.Sc in Data Science,IIT Madras | NMIMS Mumbai | Christ University,https://www.iitm.ac.in | https://nmims.edu | https://christuniversity.in,full-time,117772
public speaking,Analytical,Science,Data Scientist,Diploma in Data Analytics,Amity University | Jain University | Symbiosis Pune,https://www.amity.edu | https://www.jainuniversity.ac.in | https://www.siu.edu.in,part-time,18995
research,Analytical,Science,Data Scientist,B.Sc in Data Science,IIT Madras | NMIMS Mumbai | Christ University,https://www.iitm.ac.in | https://nmims.edu | https://christuniversity.in,full-time,271415
research,Analytical,Science,Data Scientist,Diploma in Data Analytics,Amity University | Jain University | Symbiosis Pune,https://www.amity.edu | https://www.jainuniversity.ac.in | https://www.siu.edu.in,part-time,57339
social work,Analytical,Science,Data Scientist,B.Sc in Data Science,IIT Madras | NMIMS Mumbai | Christ University,https://www.iitm.ac.in | https://nmims.edu | https://christuniversity.in,full-time,199573
social work,Analytical,Science,Data Scientist,Diploma in Data Analytics,Amity University | Jain University | Symbiosis Pune,https://www.amity.edu | https://www.jainuniversity.ac.in | https://www.siu.edu.in,part-time,70982
designing,Analytical,Science,Data Scientist,B.Sc in Data Science,IIT Madras | NMIMS Mumbai | Christ University,https://www.iitm.ac.in | https://nmims.edu | https://christuniversity.in,full-time,165728
designing,Analytical,Science,Data Scientist,Diploma in Data Analytics,Amity University | Jain University | Symbiosis Pune,https://www.amity.edu | https://www.jainuniversity.ac.in | https://www.siu.edu.in,part-time,63651
gaming,Analytical,Science,Data Scientist,B.Sc in Data Science,IIT Madras | NMIMS Mumbai | Christ University,https://www.iitm.ac.in | https://nmims.edu | https://christuniversity.in,full-time,314601
gaming,Analytical,Science,Data Scientist,Diploma in Data Analytics,Amity University | Jain University | Symbiosis Pune,https://www.amity.edu | https://www.jainuniversity.ac.in | https://www.siu.edu.in,part-time,26336
coding,Analytical,Science,Cybersecurity Expert,B.Tech in Cyber Security,VIT Vellore | Amity University | SRM University,https://vit.ac.in | https://www.amity.edu | https://www.srmist.edu.in,full-time,113939
coding,Analytical,Science,Cybersecurity Expert,Diploma in Cyber Security,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,38842
reading,Analytical,Science,Cybersecurity Expert,B.Tech in Cyber Security,VIT Vellore | Amity University | SRM University,https://vit.ac.in | https://www.amity.edu | https://www.srmist.edu.in,full-time,207819
reading,Analytical,Science,Cybersecurity Expert,Diploma in Cyber Security,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,69078
drawing,Analytical,Science,Cybersecurity Expert,B.Tech in Cyber Security,VIT Vellore | Amity University | SRM University,https://vit.ac.in | https://www.amity.edu | https://www.srmist.edu.in,full-time,184629
drawing,Analytical,Science,Cybersecurity Expert,Diploma in Cyber Security,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,54219
public speaking,Analytical,Science,Cybersecurity Expert,B.Tech in Cyber Security,VIT Vellore | Amity University | SRM University,https://vit.ac.in | https://www.amity.edu | https://www.srmist.edu.in,full-time,132274
